fonte,licensa,licensa_raw,license_status,url,bairro,lat,lng,quartos,host_id,airbnb_date,official_date
airbnb,105249,105249/AL,,https://www.airbnb.com/rooms/924387534394320153,Santo Antnio,38.71844659598061,-9.143137902207078,1,522680814,2026-06-26,2019-11-22
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/924396766933496925,Penha de Frana,38.72910854800007,-9.13143907054247,2,426083718,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/924410472188141179,Ajuda,38.7060314,-9.199071499999999,1,4968351,2026-06-25,
airbnb,88577,88577/AL,sem licença,https://www.airbnb.com/rooms/924420507303879782,Avenidas Novas,38.7366229,-9.1489501,,505424337,2026-06-25,
airbnb,88577,88577/AL,sem licença,https://www.airbnb.com/rooms/924443849929528708,Avenidas Novas,38.7366229,-9.1489501,,505424337,2026-06-25,
airbnb,70311,70311/AL,licença reutilizada 3,https://www.airbnb.com/rooms/924445983785791267,So Domingos de Benfica,38.74421170416431,-9.181951094982544,,186448151,2026-06-23,2018-04-30
airbnb,70311,70311/AL,licença reutilizada 3,https://www.airbnb.com/rooms/924456241022515663,So Domingos de Benfica,38.74414916499658,-9.182808133579961,,186448151,2026-06-23,2018-04-30
airbnb,61485,61485/AL,sem licença,https://www.airbnb.com/rooms/904949683875302247,Santo Antnio,38.71881648037075,-9.1529643960804,1,440843690,2026-07-02,
airbnb,51811,51811/AL,sem licença,https://www.airbnb.com/rooms/904965617960527000,Misericrdia,38.71257893159476,-9.151016806807768,1,440843690,2026-06-25,
airbnb,88577,88577/AL,sem licença,https://www.airbnb.com/rooms/924457560915264690,Avenidas Novas,38.7366229,-9.1489501,,505424337,2026-06-25,
airbnb,20079,20079/AL,licença reutilizada 3,https://www.airbnb.com/rooms/924467203043696772,Avenidas Novas,38.729380363247735,-9.150002323286827,3,14629738,2026-06-26,2015-09-22
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/924492433476348409,Alvalade,38.74744,-9.14146,3,419162816,2026-06-25,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/924564533791698486,Arroios,38.73419,-9.137301,,3682714,2026-07-02,
airbnb,82143,82143/AL,sem licença,https://www.airbnb.com/rooms/924593843381938034,Avenidas Novas,38.7412427,-9.156966599999999,,505424337,2026-06-25,
airbnb,82143,82143/AL,sem licença,https://www.airbnb.com/rooms/925107509707924741,Avenidas Novas,38.7412427,-9.156966599999999,,505424337,2026-06-25,
airbnb,82143,82143/AL,sem licença,https://www.airbnb.com/rooms/925134653447673636,So Domingos de Benfica,38.744608,-9.183324599999999,,505424337,2026-06-23,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/925274692873234895,Santo Antnio,38.71628,-9.15023,,22291703,2026-07-02,
airbnb,102740,102740/AL,licença reutilizada 3,https://www.airbnb.com/rooms/905049441496340050,Arroios,38.7225843,-9.1364939,3,42835369,2026-06-26,2019-09-04
airbnb,124141,124141/AL,licença reutilizada 11,https://www.airbnb.com/rooms/905658570385632936,Penha de Frana,38.7331423563461,-9.127337066012638,,340193623,2026-06-25,2022-03-10
airbnb,124141,124141/AL,licença reutilizada 11,https://www.airbnb.com/rooms/905658609888819743,Penha de Frana,38.73232083330714,-9.127207628611618,1,340193623,2026-06-25,2022-03-10
airbnb,124141,124141/AL,licença reutilizada 11,https://www.airbnb.com/rooms/905658655854608634,Penha de Frana,38.73362,-9.12891,,340193623,2026-06-25,2022-03-10
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/925287265422246662,Santo Antnio,38.71617,-9.14525,1,178495707,2026-06-26,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/925333042496298284,Areeiro,38.7425902,-9.1430858,,100001921,2026-06-25,
airbnb,82149,82149/AL,sem licença,https://www.airbnb.com/rooms/925360853429772720,Areeiro,38.7382344,-9.1339702,,505424337,2026-06-25,
airbnb,82149,82149/AL,sem licença,https://www.airbnb.com/rooms/925371627989365227,Areeiro,38.7382344,-9.1339702,,505424337,2026-06-25,
airbnb,82143,82143/AL,sem licença,https://www.airbnb.com/rooms/925373520529211745,So Domingos de Benfica,38.744608,-9.183324599999999,,505424337,2026-06-23,
airbnb,82143,82143/AL,sem licença,https://www.airbnb.com/rooms/925382650992224340,So Domingos de Benfica,38.744608,-9.183324599999999,,505424337,2026-06-23,
airbnb,82149,82149/AL,sem licença,https://www.airbnb.com/rooms/925390449446178933,Areeiro,38.7382344,-9.1339702,,505424337,2026-07-02,
airbnb,,Exempt,sem licença,https://www.airbnb.com/rooms/925967545765986681,So Vicente,38.72054,-9.13025,,316203418,2026-06-26,
airbnb,126130,126130/AL,,https://www.airbnb.com/rooms/928791419829148916,Penha de Frana,38.72395314771253,-9.129389018054857,2,304754823,2026-06-25,2022-04-27
airbnb,33271,33271/AL,licença reutilizada 17,https://www.airbnb.com/rooms/928839901953721017,Santo Antnio,38.717883732001035,-9.145173927455517,1,523416550,2026-06-25,2010-12-30
